item_id,item_name,available_at,feature_practical,feature_creative,feature_premium,feature_social,feature_learning,feature_wellbeing,feature_adventure,feature_calm
ITEM-054,Fictional selection 054,2025-01-01T00:00:00+00:00,0.0,0.0,0.0,0.45,0.0,1.0,0.0,0.0
ITEM-055,Fictional selection 055,2025-01-01T00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.45,1.0,0.0
ITEM-056,Fictional selection 056,2025-01-01T00:00:00+00:00,0.0,0.0,0.0,0.0,0.45,0.0,0.0,1.0
ITEM-057,Fictional selection 057,2025-01-01T00:00:00+00:00,1.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0
ITEM-058,Fictional selection 058,2025-01-01T00:00:00+00:00,0.0,1.0,0.0,0.0,0.0,0.0,0.45,0.0
ITEM-059,Fictional selection 059,2025-07-08T00:00:00+00:00,0.0,0.45,1.0,0.0,0.0,0.0,0.0,0.0
ITEM-060,Fictional selection 060,2025-01-19T00:00:00+00:00,0.0,0.0,0.0,1.0,0.0,0.0,0.45,0.0
ITEM-061,Fictional selection 061,2025-05-30T00:00:00+00:00,0.45,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ITEM-062,Fictional selection 062,2025-08-01T00:00:00+00:00,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0
ITEM-063,Fictional selection 063,2025-07-03T00:00:00+00:00,0.0,0.45,0.0,0.0,0.0,0.0,1.0,0.0
ITEM-064,Fictional selection 064,2025-06-24T00:00:00+00:00,0.0,0.0,0.0,0.0,0.45,0.0,0.0,1.0
ITEM-065,Fictional selection 065,2025-01-15T00:00:00+00:00,1.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0
ITEM-066,Fictional selection 066,2025-07-16T00:00:00+00:00,0.0,1.0,0.0,0.0,0.45,0.0,0.0,0.0
ITEM-067,Fictional selection 067,2025-04-08T00:00:00+00:00,0.0,0.45,1.0,0.0,0.0,0.0,0.0,0.0
ITEM-068,Fictional selection 068,2025-04-26T00:00:00+00:00,0.0,0.45,0.0,1.0,0.0,0.0,0.0,0.0
ITEM-069,Fictional selection 069,2025-01-17T00:00:00+00:00,0.0,0.0,0.45,0.0,1.0,0.0,0.0,0.0
ITEM-070,Fictional selection 070,2025-03-16T00:00:00+00:00,0.0,0.0,0.0,0.45,0.0,1.0,0.0,0.0
ITEM-071,Fictional selection 071,2025-01-31T00:00:00+00:00,0.45,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ITEM-072,Fictional selection 072,2025-05-07T00:00:00+00:00,0.0,0.45,0.0,0.0,0.0,0.0,0.0,1.0
ITEM-073,Fictional selection 073,2025-04-22T00:00:00+00:00,1.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0
ITEM-074,Fictional selection 074,2025-06-20T00:00:00+00:00,0.0,1.0,0.0,0.0,0.45,0.0,0.0,0.0
ITEM-075,Fictional selection 075,2025-08-12T00:00:00+00:00,0.0,0.0,1.0,0.0,0.0,0.45,0.0,0.0
ITEM-076,Fictional selection 076,2025-05-13T00:00:00+00:00,0.0,0.45,0.0,1.0,0.0,0.0,0.0,0.0
ITEM-077,Fictional selection 077,2025-06-18T00:00:00+00:00,0.0,0.0,0.0,0.45,1.0,0.0,0.0,0.0
ITEM-078,Fictional selection 078,2025-02-13T00:00:00+00:00,0.0,0.0,0.0,0.45,0.0,1.0,0.0,0.0
ITEM-079,Fictional selection 079,2025-07-14T00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.45
ITEM-080,Fictional selection 080,2025-08-01T00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.45,0.0,1.0
ITEM-081,Fictional selection 081,2025-04-08T00:00:00+00:00,1.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0
ITEM-082,Fictional selection 082,2025-02-14T00:00:00+00:00,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.45
ITEM-083,Fictional selection 083,2025-04-19T00:00:00+00:00,0.0,0.0,1.0,0.45,0.0,0.0,0.0,0.0
ITEM-084,Fictional selection 084,2025-04-23T00:00:00+00:00,0.45,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ITEM-085,Fictional selection 085,2025-03-08T00:00:00+00:00,0.0,0.0,0.0,0.45,1.0,0.0,0.0,0.0
ITEM-086,Fictional selection 086,2025-05-29T00:00:00+00:00,0.0,0.0,0.0,0.0,0.45,1.0,0.0,0.0
ITEM-087,Fictional selection 087,2025-04-21T00:00:00+00:00,0.0,0.0,0.0,0.45,0.0,0.0,1.0,0.0
ITEM-088,Fictional selection 088,2025-04-30T00:00:00+00:00,0.0,0.0,0.45,0.0,0.0,0.0,0.0,1.0
ITEM-089,Fictional selection 089,2025-03-29T00:00:00+00:00,1.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0
ITEM-090,Fictional selection 090,2025-02-11T00:00:00+00:00,0.0,1.0,0.45,0.0,0.0,0.0,0.0,0.0
ITEM-091,Fictional selection 091,2025-06-23T00:00:00+00:00,0.0,0.0,1.0,0.0,0.0,0.0,0.45,0.0
ITEM-092,Fictional selection 092,2025-04-11T00:00:00+00:00,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.45
ITEM-093,Fictional selection 093,2025-08-09T00:00:00+00:00,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.45
ITEM-094,Fictional selection 094,2025-03-21T00:00:00+00:00,0.45,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ITEM-095,Fictional selection 095,2025-07-27T00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.45
ITEM-096,Fictional selection 096,2025-02-01T00:00:00+00:00,0.45,0.0,0.0,0.0,0.0,0.0,0.0,1.0
